Date,Open,High,Low,Close,Adj Close,Volume
13/02/2015,158.779999,160.800003,158.639999,160.399994,128.815002,3706900
17/02/2015,159.75,161.410004,159.729996,160.960007,129.26474,2894500
18/02/2015,161.860001,162.470001,160.639999,162.190002,130.252563,4358400
19/02/2015,162.050003,164.490005,161.440002,163.889999,131.617767,3504400
20/02/2015,163.639999,164.339996,162.089996,163.649994,131.425018,3353000
23/02/2015,164.229996,164.399994,162.5,162.910004,130.83075,2714400
24/02/2015,162.490005,164.990005,161.509995,164.830002,132.372681,4701600
25/02/2015,164.940002,164.960007,162.580002,162.809998,130.750443,4004600
26/02/2015,163.740005,164.139999,159.770004,160.869995,129.192459,7110800
27/02/2015,160.869995,162.289993,160.160004,161.940002,130.051773,4410000
02/03/2015,161.940002,161.940002,159.809998,160.479996,128.879242,5917900
03/03/2015,160.270004,161.75,160,161.029999,129.320953,3234400
04/03/2015,160.539993,160.559998,158.720001,159.419998,128.027969,3633600
05/03/2015,159.860001,161.5,159.699997,161.179993,129.441391,3791700
06/03/2015,160.190002,161.440002,158.059998,158.5,127.289124,4540200
09/03/2015,158.199997,161.149994,158.199997,160.770004,129.112137,5193900
10/03/2015,159.600006,160.229996,157.809998,157.809998,126.735023,4601000
11/03/2015,158.570007,159.139999,155.940002,156.800003,125.923889,5709900
12/03/2015,156.270004,158.720001,156.270004,157.979996,126.871559,4567300
13/03/2015,157.460007,157.520004,153.399994,154.279999,123.900124,6064100
16/03/2015,155.050003,157.089996,154.800003,157.080002,126.14875,3749600
17/03/2015,156.199997,157.289993,155.369995,156.960007,126.052376,3311700
18/03/2015,156.850006,160.699997,155.800003,159.809998,128.341202,5738800
19/03/2015,159.699997,160.919998,158.809998,159.809998,128.341202,3878600
20/03/2015,160.949997,163,160.350006,162.880005,130.806686,9006400
23/03/2015,162.770004,165.350006,162.729996,164.630005,132.212097,5930100
24/03/2015,164.789993,164.889999,162.899994,163,130.903015,4346100
25/03/2015,163.080002,163.080002,159.199997,159.199997,127.851295,5428900
26/03/2015,159.270004,161.25,158.910004,160.589996,128.967529,4396000
27/03/2015,160.789993,160.899994,159.229996,160.399994,128.815002,3477900
30/03/2015,161.309998,163.600006,161.25,162.669998,130.638016,4138000
31/03/2015,161.080002,162.330002,160.399994,160.5,128.895309,4255400
01/04/2015,160.229996,160.619995,158.389999,159.179993,127.835228,3700800
02/04/2015,159.520004,162.539993,158.889999,160.449997,128.855179,4671600
06/04/2015,159.690002,162.800003,158.699997,162.039993,130.13208,3465700
07/04/2015,161.669998,163.839996,161.619995,162.070007,130.156174,3148000
08/04/2015,161.720001,163.550003,161.009995,161.850006,129.979523,2524300
09/04/2015,161.699997,162.470001,160.720001,162.339996,130.372986,2263500
10/04/2015,162.339996,163.330002,161.25,162.860001,130.790588,2515700
13/04/2015,162.369995,164,162.360001,162.380005,130.405136,3868900
14/04/2015,162.419998,162.740005,160.789993,162.300003,130.340881,2719300
15/04/2015,162.630005,164.960007,162.5,164.130005,131.810547,3498800
16/04/2015,163.309998,163.979996,162.539993,163.130005,131.007416,3136900
17/04/2015,161.75,161.860001,160.029999,160.669998,129.031784,4314400
20/04/2015,162.100006,166.639999,161.899994,166.160004,133.440796,9609200
21/04/2015,166.070007,167.380005,164.050003,164.259995,131.914948,9683600
22/04/2015,164.389999,166,162.889999,165.360001,132.798309,4024800
23/04/2015,165.229996,171.910004,165.139999,170.240005,136.717377,8235600
24/04/2015,170.229996,170.850006,168.740005,169.779999,136.347961,3888400
27/04/2015,170.889999,171.490005,170.300003,170.729996,137.11087,3168600
28/04/2015,170.830002,174.690002,170.020004,173.919998,139.67276,5816700
29/04/2015,173.399994,175.130005,172.800003,174.399994,140.058197,4518400
30/04/2015,173.770004,174.279999,170.300003,171.289993,137.560608,5062900
01/05/2015,173.199997,174,172.419998,173.669998,139.471954,3312100
04/05/2015,174.470001,176.300003,173.699997,173.970001,139.71286,4028000
05/05/2015,173.509995,174.229996,171.960007,173.080002,138.998123,3593600
06/05/2015,172.899994,174.050003,168.860001,170.050003,137.598297,3612600
07/05/2015,169.630005,171.979996,169.039993,170.990005,139.424789,2472000
08/05/2015,172.940002,173.330002,172.240005,172.679993,140.802795,3092600
11/05/2015,172.649994,172.990005,170.860001,171.119995,139.530731,2661000
12/05/2015,170.550003,171.490005,168.839996,170.550003,139.065979,2962400
13/05/2015,171.240005,172.740005,170.75,172.279999,140.476624,2457500
14/05/2015,173.5,174.399994,173.220001,174.050003,141.919891,2439100
15/05/2015,173.910004,174.410004,172.600006,173.259995,141.275711,2916600
18/05/2015,173.440002,173.490005,172.300003,173.059998,141.112625,1970600
19/05/2015,172.970001,173.75,171.929993,173.479996,141.455093,2523000
20/05/2015,173.330002,174.440002,172.460007,173.759995,141.683426,2300300
21/05/2015,173.320007,174.139999,173.039993,173.339996,141.340988,2295600
22/05/2015,173.039993,173.389999,172.190002,172.220001,140.427719,2849700
26/05/2015,172.110001,172.119995,169.130005,170.130005,138.723526,3854200
27/05/2015,171.160004,172.479996,170.490005,172,140.248337,2764400
28/05/2015,171.449997,171.839996,170.660004,171.710007,140.011887,1731400
29/05/2015,171.350006,171.350006,169.649994,169.649994,138.332123,4092000
01/06/2015,170.210007,171.039993,169.029999,170.179993,138.764297,2985500
02/06/2015,169.660004,170.449997,168.429993,169.649994,138.332123,2571400
03/06/2015,170.5,171.559998,169.630005,169.919998,138.552322,2131000
04/06/2015,169.529999,170.600006,167.929993,168.380005,137.2966,3079300
05/06/2015,168.25,168.910004,167.199997,167.399994,136.497482,3100500
08/06/2015,167.169998,167.279999,165.020004,165.339996,134.817764,3758700
09/06/2015,165.339996,166.020004,163.369995,165.679993,135.095016,3395900
10/06/2015,166.490005,169.389999,166.059998,168.919998,137.736908,4680500
11/06/2015,169.259995,170.440002,168.539993,168.779999,137.622711,3464000
12/06/2015,168.229996,168.300003,166.690002,166.990005,136.163147,3065100
15/06/2015,166.990005,166.990005,164.25,166.259995,135.567963,4245700
16/06/2015,166.330002,167.399994,165.910004,166.839996,136.040863,3249800
17/06/2015,167,167.850006,166.100006,167.169998,136.309967,2863000
18/06/2015,167.050003,168.720001,167.050003,168.25,137.190582,3330900
19/06/2015,167.619995,168.419998,166.770004,166.990005,136.163147,7074000
22/06/2015,167.649994,168.339996,167.199997,167.729996,136.766586,2335800
23/06/2015,168.380005,169.970001,167.570007,168.619995,137.492264,3701600
24/06/2015,168.710007,168.839996,166.830002,166.970001,136.146851,3548100
25/06/2015,167.800003,168.130005,166.080002,166.080002,135.421188,2408900
26/06/2015,166.229996,166.809998,165.229996,165.460007,134.915649,8946000
29/06/2015,163.919998,165.350006,162.889999,162.970001,132.885284,3314700
30/06/2015,163.990005,164,162.119995,162.660004,132.632507,3597300
01/07/2015,163.970001,165.610001,163.600006,164.490005,134.12471,3214500
02/07/2015,165.050003,165.320007,164.419998,165.089996,134.613922,2852700
